11g/10g: [10g] --- [11g]  
20g: [20g, 99480g, 11g] --- [99511g]  
99522g/9080g: [9080g, 99480g] --- [11g, 99511g]  
99522g/9090g: [9090g, 99480g] --- [11g, 99511g]  
99522g/9100g: [9100g, 99480g] --- [11g, 99511g]  
99522g/9110g: [9110g, 99480g] --- [11g, 99511g]  
99522g/9120g: [9120g, 99480g] --- [11g, 99511g]  
99522g/9130g: [9130g, 99480g] --- [11g, 99511g]  
99522g/9140g: [9140g, 99480g] --- [11g, 99511g]  
99522g/9150g: [9150g, 99480g] --- [11g, 99511g]  
99522g/9160g: [9160g, 99480g] --- [11g, 99511g]  
99522g/9170g: [9170g, 99480g] --- [11g, 99511g]  
99522g/9180g: [9180g, 99480g] --- [11g, 99511g]  
99522g/9190g: [9190g, 99480g] --- [11g, 99511g]  
99522g/9200g: [9200g, 99480g] --- [11g, 99511g]  
99522g/9210g: [9210g, 99480g] --- [11g, 99511g]  
99522g/9220g: [9220g, 99480g] --- [11g, 99511g]  
99522g/9230g: [9230g, 99480g] --- [11g, 99511g]  
99522g/9240g: [9240g, 99480g] --- [11g, 99511g]  
99522g/9250g: [9250g, 99480g] --- [11g, 99511g]  
99522g/9260g: [9260g, 99480g] --- [11g, 99511g]  
99522g/9270g: [9270g, 99480g] --- [11g, 99511g]  
99522g/9280g: [9280g, 99480g] --- [11g, 99511g]  
99522g/9290g: [9290g, 99480g] --- [11g, 99511g]  
99522g/9300g: [9300g, 99480g] --- [11g, 99511g]  
99522g/9310g: [9310g, 99480g] --- [11g, 99511g]  
99522g/9320g: [9320g, 99480g] --- [11g, 99511g]  
99522g/9330g: [9330g, 99480g] --- [11g, 99511g]  
99522g/9340g: [9340g, 99480g] --- [11g, 99511g]  
99522g/9350g: [9350g, 99480g] --- [11g, 99511g]  
99522g/9360g: [9360g, 99480g] --- [11g, 99511g]  
99522g/9370g: [9370g, 99480g] --- [11g, 99511g]  
99522g/9380g: [9380g, 99480g] --- [11g, 99511g]  
99522g/9390g: [9390g, 99480g] --- [11g, 99511g]  
99522g/9400g: [9400g, 99480g] --- [11g, 99511g]  
99522g/9410g: [9410g, 99480g] --- [11g, 99511g]  
99522g/9420g: [9420g, 99480g] --- [11g, 99511g]  
99522g/9430g: [9430g, 99480g] --- [11g, 99511g]  
99522g/9440g: [9440g, 99480g] --- [11g, 99511g]  
99522g/9450g: [9450g, 99480g] --- [11g, 99511g]  
99522g/9460g: [9460g, 99480g] --- [11g, 99511g]  
99522g/9470g: [9470g, 99480g] --- [11g, 99511g]  
99522g/9480g: [9480g, 99480g] --- [11g, 99511g]  
99522g/9490g: [9490g, 99480g] --- [11g, 99511g]  
99522g/9500g: [9500g, 99480g] --- [11g, 99511g]  
99522g/9510g: [9510g, 99480g] --- [11g, 99511g]  
99522g/9520g: [9520g, 99480g] --- [11g, 99511g]  
99522g/9530g: [9530g, 99480g] --- [11g, 99511g]  
99522g/9540g: [9540g, 99480g] --- [11g, 99511g]  
99522g/9550g: [9550g, 99480g] --- [11g, 99511g]  
99522g/9560g: [9560g, 99480g] --- [11g, 99511g]  
99522g/9570g: [9570g, 99480g] --- [11g, 99511g]  
99522g/9580g: [9580g, 99480g] --- [11g, 99511g]  
99522g/9590g: [9590g, 99480g] --- [11g, 99511g]  
99522g/9600g: [9600g, 99480g] --- [11g, 99511g]  
99522g/9610g: [9610g, 99480g] --- [11g, 99511g]  
99522g/9620g: [9620g, 99480g] --- [11g, 99511g]  
99522g/9630g: [9630g, 99480g] --- [11g, 99511g]  
99522g/9640g: [9640g, 99480g] --- [11g, 99511g]  
99522g/9650g: [9650g, 99480g] --- [11g, 99511g]  
99522g/9660g: [9660g, 99480g] --- [11g, 99511g]  
99522g/9670g: [9670g, 99480g] --- [11g, 99511g]  
99522g/9680g: [9680g, 99480g] --- [11g, 99511g]  
99522g/9690g: [9690g, 99480g] --- [11g, 99511g]  
99522g/9700g: [9700g, 99480g] --- [11g, 99511g]  
99522g/9710g: [9710g, 99480g] --- [11g, 99511g]  
99522g/9720g: [9720g, 99480g] --- [11g, 99511g]  
99522g/9730g: [9730g, 99480g] --- [11g, 99511g]  
99522g/9740g: [9740g, 99480g] --- [11g, 99511g]  
99522g/9750g: [9750g, 99480g] --- [11g, 99511g]  
99522g/9760g: [9760g, 99480g] --- [11g, 99511g]  
99522g/9770g: [9770g, 99480g] --- [11g, 99511g]  
99522g/9780g: [9780g, 99480g] --- [11g, 99511g]  
99522g/9790g: [9790g, 99480g] --- [11g, 99511g]  
99522g/9800g: [9800g, 99480g] --- [11g, 99511g]  
99522g/9810g: [9810g, 99480g] --- [11g, 99511g]  
99522g/9820g: [9820g, 99480g] --- [11g, 99511g]  
99522g/9830g: [9830g, 99480g] --- [11g, 99511g]  
99522g/9840g: [9840g, 99480g] --- [11g, 99511g]  
99522g/9850g: [9850g, 99480g] --- [11g, 99511g]  
99522g/9860g: [9860g, 99480g] --- [11g, 99511g]  
99522g/9870g: [9870g, 99480g] --- [11g, 99511g]  
99522g/9880g: [9880g, 99480g] --- [11g, 99511g]  
99522g/9890g: [9890g, 99480g] --- [11g, 99511g]  
99522g/9900g: [9900g, 99480g] --- [11g, 99511g]  
99522g/9910g: [9910g, 99480g] --- [11g, 99511g]  
99522g/9920g: [9920g, 99480g] --- [11g, 99511g]  
99522g/9930g: [9930g, 99480g] --- [11g, 99511g]  
99522g/9940g: [9940g, 99480g] --- [11g, 99511g]  
99522g/9950g: [9950g, 99480g] --- [11g, 99511g]  
99522g/9960g: [9960g, 99480g] --- [11g, 99511g]  
99522g/9970g: [9970g, 99480g] --- [11g, 99511g]  
99522g/9980g: [9980g, 99480g] --- [11g, 99511g]  
99522g/9990g: [9990g, 99480g] --- [11g, 99511g]  
99522g/10000g: [10000g, 99480g] --- [11g, 99511g]  
